"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","Sequence","FromStopID","ToStopID","Distance"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,42,"291267","291253","289.8"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,43,"291253","291271","349.61"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,44,"291271","291260","191.84"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,45,"291260","291270","386.46"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,46,"291270","291767","721.56"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,47,"291767","291768","288.16"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,48,"291768","291273","522.07"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,49,"291273","291272","393.51"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,50,"291272","291264","385.78"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,51,"291264","304421","170.72"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,52,"304421","304419","711.13"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,53,"304419","304417","1053.78"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,54,"304417","304416","404.82"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,55,"304416","304261","354.66"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,56,"304261","304259","371.15"
"HSZ0020","0020","2","HSZ002001","002001","2",0,1,"","291761",""
"HSZ0020","0020","2","HSZ002001","002001","2",0,2,"291761","291741","599.26"
"HSZ0020","0020","2","HSZ002001","002001","2",0,3,"291741","291763","314.73"
"HSZ0020","0020","2","HSZ002001","002001","2",0,4,"291763","291236","238.39"
"HSZ0020","0020","2","HSZ002001","002001","2",0,5,"291236","304418","703.82"
"HSZ0020","0020","2","HSZ002001","002001","2",0,6,"304418","304420","518.23"
"HSZ0020","0020","2","HSZ002001","002001","2",0,7,"304420","291285","502.02"
"HSZ0020","0020","2","HSZ002001","002001","2",0,8,"291285","291281","208.97"
"HSZ0020","0020","2","HSZ002001","002001","2",0,9,"291281","291225","499.04"
"HSZ0020","0020","2","HSZ002001","002001","2",0,10,"291225","291246","310.77"
"HSZ0020","0020","2","HSZ002001","002001","2",0,11,"291246","291222","248.36"
"HSZ0020","0020","2","HSZ002001","002001","2",0,12,"291222","291241","181.8"
"HSZ0020","0020","2","HSZ002001","002001","2",0,13,"291241","291240","192.64"
"HSZ0020","0020","2","HSZ002001","002001","2",0,14,"291240","291230","267.81"
"HSZ0020","0020","2","HSZ002001","002001","2",0,15,"291230","291242","723.43"
"HSZ0020","0020","2","HSZ002001","002001","2",0,16,"291242","291237","766.27"
"HSZ0020","0020","2","HSZ002001","002001","2",0,17,"291237","293681","349"
"HSZ0020","0020","2","HSZ002001","002001","2",0,18,"293681","291283","501.91"
"HSZ0020","0020","2","HSZ002001","002001","2",0,19,"291283","291284","225.54"
"HSZ0020","0020","2","HSZ002001","002001","2",0,20,"291284","291280",""
"HSZ0020","0020","2","HSZ002002","002002","2",1,1,"","291280",""
"HSZ0020","0020","2","HSZ002002","002002","2",1,2,"291280","291290",""
"HSZ0020","0020","2","HSZ002002","002002","2",1,3,"291290","291289","257.54"
"HSZ0020","0020","2","HSZ002002","002002","2",1,4,"291289","291274","663.11"
"HSZ0020","0020","2","HSZ002002","002002","2",1,5,"291274","291267","192.27"
"HSZ0020","0020","2","HSZ002002","002002","2",1,6,"291267","291253","289.7"
"HSZ0020","0020","2","HSZ002002","002002","2",1,7,"291253","291271","349.68"
"HSZ0020","0020","2","HSZ002002","002002","2",1,8,"291271","291260","191.84"
"HSZ0020","0020","2","HSZ002002","002002","2",1,9,"291260","291270","639.46"
"HSZ0020","0020","2","HSZ002002","002002","2",1,10,"291270","291767","748.09"
"HSZ0020","0020","2","HSZ002002","002002","2",1,11,"291767","291768","288.1"
"HSZ0020","0020","2","HSZ002002","002002","2",1,12,"291768","291287","219.06"
"HSZ0020","0020","2","HSZ002002","002002","2",1,13,"291287","291291","291.32"
"HSZ0020","0020","2","HSZ002002","002002","2",1,14,"291291","304421","407.15"
"HSZ0020","0020","2","HSZ002002","002002","2",1,15,"304421","304419","711.13"
"HSZ0020","0020","2","HSZ002002","002002","2",1,16,"304419","304417","1053.78"
"HSZ0020","0020","2","HSZ002002","002002","2",1,17,"304417","304416","404.88"
"HSZ0020","0020","2","HSZ002002","002002","2",1,18,"304416","304261","354.69"
"HSZ0020","0020","2","HSZ002002","002002","2",1,19,"304261","304259","386.08"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,1,"","291761",""
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,2,"291761","291741","410.65"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,3,"291741","291763","322.87"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,4,"291763","291236","238.39"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,5,"291236","304418","704.51"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,6,"304418","304420","511.99"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,7,"304420","291285","502.07"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,8,"291285","291281","208.89"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,9,"291281","291225","499.13"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,10,"291225","291246","310.77"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,11,"291246","291222","289.19"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,12,"291222","291241","180.73"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,13,"291241","291240","192.64"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,14,"291240","291230","267.81"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,15,"291230","291293","611.52"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,16,"291293","291295","168.3"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,17,"291295","302736","326.23"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,18,"302736","293681","509.75"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,19,"293681","291283","501.91"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,20,"291283","291284","225.54"
"HSZ0020","0020","2","HSZ0020A1","0020A1","2支A",0,21,"291284","291280",""
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,1,"","291280",""
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,2,"291280","291290",""
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,3,"291290","291289","273.01"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,4,"291289","291274","652.45"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,5,"291274","302737","547.23"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,6,"302737","291780","239.89"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,7,"291780","291837","247.02"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,8,"291837","291271","383.82"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,9,"291271","291260","191.84"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,10,"291260","291270","639.46"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,11,"291270","291767","748.09"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,12,"291767","291768","288.1"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,13,"291768","291287","219.06"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,14,"291287","291291","291.32"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,15,"291291","304421","407.15"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,16,"304421","304419","711.13"
"HSZ0020","0020","2","HSZ0020A2","0020A2","2支A",1,17,"304419","304417","1026.38"
